tweet_id,tweet_created_at,tweet_text,hashtags,tweet_quoted_status_id,tweet_mtion,Pertinent,proba_pertinence,user_id,user_screenname,user_name,user_location,user_description
908304720233672706,2017-09-14 14:21:35,AMC'S results on Kubuk #deposit confirm potential to upgrade the current #Mineral Resource Estimate #nickel https://t.co/lTwzeIftsg,deposit ; Mineral ; nickel ; ,-1,,VRAI,"0,999999579",743087728561127424,amur_minerals,Amur Minerals,"Khabarovsk, Russia",Amur Minerals Corporation is a developing mineral exploration company focused on base metal projects in the far east of Russia. LON:AMC
907718811641630720,2017-09-12 23:33:23,"RT INN_Gold ""OK2 Minerals discovers Large Zones of High Grade Copper-Gold Mineralization at Kinskuch Lake, at the … https://t.co/sM4cqOLzKf""",,-1,,VRAI,"0,999999317",2159322464,Sourcingstocks,Sourcingstocks,The Ticker,We are always sourcing the best stock trades. The information on this Twitter link is for information. Consult a financial advisor before buying anything.
907717801594507264,2017-09-12 23:29:23,"RT INN_Silver ""Fireweed Zinc Drills Wide High Grade Mineralization at Macmillan Pass Project includin... … https://t.co/ugDXlphlrp""",,-1,,VRAI,"0,99999931",2159322464,Sourcingstocks,Sourcingstocks,The Ticker,We are always sourcing the best stock trades. The information on this Twitter link is for information. Consult a financial advisor before buying anything.
908364112631140352,2017-09-14 18:17:35,#URU https://t.co/FB0T9jYljA [URU IMMED ADJ TO PLATREEF [IVANHOE/IVANPLAT] ultra thick 19m UNDERGROUND ore body. 0.3% nickel & 0.15% copper],URU ; ,-1,,VRAI,"0,999999234",3490311803,LONDONAIMCAP,LONDONAIMCAP,null,"TRENDING NEWS #SOLG.#REM #UKOG #88E ~46, 45, 9 & 10 BAGGERS~Historic ~#BTC 9c to $4,489.21. No Advice+Recom+Warr. Do Due Diligence. Capital at Risk"
908741164274257920,2017-09-15 19:15:51,FSCWire - Jourdan Discovers Lithium Mineralization on Property Adjacent to North American Lithiums Producing Mine https://t.co/GAcc6CYOki,,-1,,VRAI,"0,999998982",3007877866,CandymanFrank,Frank Candido,"Montreal, Canada",null
908556003813212160,2017-09-15 07:00:06,Jourdan Discovers Lithium Mineralization on Property Adjacent to North American Lithiums Producing Mine https://t.co/doxnHZ8JIF #newsrelease,newsrelease ; ,-1,,VRAI,"0,999998982",266143766,FSCNEWS,FSCwire,"Calgary, Alberta",FSCwire is a Newswire Dissemination /  Media Relations / Corporate Compliance provider for public companies.
908716851580030981,2017-09-15 17:39:15,IRW Press - Jourdan Discovers Lithium Mineralization on Property Adjacent to North American Lithiums Producing Mine …,,-1,,VRAI,"0,999998982",18108933,PaginaNuova,Pagina Nuova," Torino, Italy","Pagina Nuova è un news magazine multimediale dedicato alla cultura, all'attualità e allo sport, che dedica grande attenzione ai libri. 
La conoscenza condivisa!"
908572869189287936,2017-09-15 08:07:07,Jourdan Discovers Lithium Mineralization on Property Adjacent to North American Lithiums Producing Mine... https://t.co/oxUsXw6G2J,,-1,,VRAI,"0,999998982",59164384,Money_Canada,James Dean,World Wide,James Dean - MONEY - Money Canada Limited - Money Magazine - Canadian Money
907647445122854912,2017-09-12 18:49:48,"RT stockpools ""OK2 Minerals Discovers Large Zones of High Grade Copper-Gold Mineralization at Kinskuch: https://t.co/LbkA5UIBii
$OK.V #Min…",Min ; ,-1,,VRAI,"0,99999895",2680711886,BigMoneyTraders,BigMoneyTraders,Money Land,We follow the Big Money Traders on the #NYSE and #NASDAQ @ http://topfivetraders.com/  - #daytrading - join today ! Entertainment only - not advice !
907717043042099200,2017-09-12 23:26:22,Fireweed Zinc Drills Wide High Grade Mineralization at Macmillan Pass Project includin... https://t.co/Aidxpt6ZIO .@FireweedZinc #investing https://t.co/3eN97Wa06E,investing ; ,-1,FireweedZinc ; ,VRAI,"0,999998741",25406616,INN_Silver,Silver Investing,Vancouver,#Silver #Investing #News is reporting on #stocks and #mining #commodities #preciousmetals #TSX #NYSE #CSE
