tweet_id;TweetB;Pertinent;proba_pertinence
908304720233672706;AMC'S results on Kubuk  confirm potential to upgrade the current  Resource Estimate;VRAI;0,999999579
907718811641630720;"RT INN_Gold ""OK2 Minerals discovers Large Zones of High Grade Copper-Gold Mineralization at Kinskuch Lake, at the ?";VRAI;0,999999317
907717801594507264;"RT INN_Silver ""Fireweed Zinc Drills Wide High Grade Mineralization at Macmillan Pass Project includin... ?";VRAI;0,99999931
908364112631140352;[URU IMMED ADJ TO PLATREEF [IVANHOE/IVANPLAT] ultra thick 19m UNDERGROUND ore body. 0.3% nickel & 0.15% copper];VRAI;0,999999234
908741164274257920;FSCWire - Jourdan Discovers Lithium Mineralization on Property Adjacent to North American Lithiums Producing Mine;VRAI;0,999998982
908556003813212160;Jourdan Discovers Lithium Mineralization on Property Adjacent to North American Lithiums Producing Mine;VRAI;0,999998982
908716851580030981;IRW Press - Jourdan Discovers Lithium Mineralization on Property Adjacent to North American Lithiums Producing Mine ?;VRAI;0,999998982
908572869189287936;Jourdan Discovers Lithium Mineralization on Property Adjacent to North American Lithiums Producing Mine...;VRAI;0,999998982
907647445122854912;"RT stockpools ""OK2 Minerals Discovers Large Zones of High Grade Copper-Gold Mineralization at Kinskuch:  $OK.V";VRAI;0,99999895
907717043042099200;Fireweed Zinc Drills Wide High Grade Mineralization at Macmillan Pass Project includin...  .;VRAI;0,999998741
908269275458281473;OK2 Minerals discovers Large Zones of High Grade Copper-Gold Mineralization at Kinskuch Lake-;VRAI;0,999998609
907784250686046208;SWGoldReport: Explorer's Drilling Reveals Another Higher Grade Ore Body:  $SA $SEA.CA;VRAI;0,999998496
907647065244569600;OK2 Minerals Discovers Large Zones of High Grade Copper-Gold Mineralization at Kinskuch:  $OK.V;VRAI;0,999998053
907717609558364160;OK2 Minerals discovers Large Zones of High Grade Copper-Gold Mineralization at Kinskuch Lake, at the S...;VRAI;0,999997646
907623599929835520;OK2 Minerals discovers Large Zones of High Grade Copper-Gold Mineralization  at Kinskuch Lake, at the $OK.V;VRAI;0,999997646
908673259251548161;Alix Discovers Lithium Mineralization on Property Adjacent to North American Lithiums Producing Mine;VRAI;0,999997391
907783416195710976;Explorer's Drilling Reveals Another Higher Grade Ore Body:  $SA $SEA.CA;VRAI;0,999996762
908698548186656768;Jourdan Discovers Lithium Mineralization on Property Adjacent to North American Lithium?s Producing Mine ? Jourdan R?;VRAI;0,999996646
907699333012885505;"Glenn Jessome, ""high-grade gold-silver-base metal mineralization in the Caleigh Vein""  August 10, 2017 $OCNSF $OCN.V";VRAI;0,999995907
